,C03 - VIDRO 600ML RET,N,min,max,R,num classes,C,k,CLASSES,Freq,pi,Pi,Xi,Xi*pi,di^2*pi,Media simples,Media ponderada,var,desvpad,erro relativo agrupamento,cv,moda,assimetria
40,11.0,,,,,,,,,,,,,,,,,,,,,,
41,11.5,,,,,,,,,,,,,,,,,,,,,,
42,11.9,,,,,,,,,,,,,,,,,,,,,,
43,11.9,,,,,,,,,,,,,,,,,,,,,,
44,11.9,,,,,,,,,,,,,,,,,,,,,,
45,11.9,,,,,,,,,,,,,,,,,,,,,,
46,11.9,,,,,,,,,,,,,,,,,,,,,,
47,11.9,,,,,,,,,,,,,,,,,,,,,,
48,11.9,,,,,,,,,,,,,,,,,,,,,,
49,11.9,,,,,,,,,,,,,,,,,,,,,,
50,11.9,,,,,,,,,,,,,,,,,,,,,,
51,11.9,,,,,,,,,,,,,,,,,,,,,,
52,11.99,,,,,,,,,,,,,,,,,,,,,,
53,12.0,,,,,,,,,,,,,,,,,,,,,,
54,12.0,,,,,,,,,,,,,,,,,,,,,,
55,12.0,,,,,,,,,,,,,,,,,,,,,,
56,12.0,,,,,,,,,,,,,,,,,,,,,,
57,12.0,,,,,,,,,,,,,,,,,,,,,,
58,12.0,,,,,,,,,,,,,,,,,,,,,,
59,12.0,,,,,,,,,,,,,,,,,,,,,,
60,12.0,,,,,,,,,,,,,,,,,,,,,,
61,12.0,,,,,,,,,,,,,,,,,,,,,,
62,12.0,,,,,,,,,,,,,,,,,,,,,,
63,12.0,,,,,,,,,,,,,,,,,,,,,,
64,12.0,,,,,,,,,,,,,,,,,,,,,,
65,12.0,,,,,,,,,,,,,,,,,,,,,,
66,12.0,,,,,,,,,,,,,,,,,,,,,,
67,12.0,,,,,,,,,,,,,,,,,,,,,,
68,12.0,,,,,,,,,,,,,,,,,,,,,,
69,12.0,,,,,,,,,,,,,,,,,,,,,,
70,12.0,,,,,,,,,,,,,,,,,,,,,,
71,12.0,,,,,,,,,,,,,,,,,,,,,,
72,12.0,,,,,,,,,,,,,,,,,,,,,,
73,12.0,,,,,,,,,,,,,,,,,,,,,,
74,12.0,,,,,,,,,,,,,,,,,,,,,,
75,12.0,,,,,,,,,,,,,,,,,,,,,,
76,12.0,,,,,,,,,,,,,,,,,,,,,,
77,12.0,,,,,,,,,,,,,,,,,,,,,,
78,12.9,,,,,,,,,,,,,,,,,,,,,,
79,12.9,,,,,,,,,,,,,,,,,,,,,,
80,12.9,,,,,,,,,,,,,,,,,,,,,,
81,12.9,,,,,,,,,,,,,,,,,,,,,,
82,12.9,,,,,,,,,,,,,,,,,,,,,,
83,12.9,,,,,,,,,,,,,,,,,,,,,,
84,12.9,,,,,,,,,,,,,,,,,,,,,,
85,12.99,,,,,,,,,,,,,,,,,,,,,,
86,13.0,,,,,,,,,,,,,,,,,,,,,,
87,13.0,,,,,,,,,,,,,,,,,,,,,,
88,13.0,,,,,,,,,,,,,,,,,,,,,,
89,13.0,,,,,,,,,,,,,,,,,,,,,,
90,13.5,,,,,,,,,,,,,,,,,,,,,,
91,13.5,,,,,,,,,,,,,,,,,,,,,,
92,13.9,,,,,,,,,,,,,,,,,,,,,,
93,13.9,,,,,,,,,,,,,,,,,,,,,,
94,13.9,,,,,,,,,,,,,,,,,,,,,,
95,13.9,,,,,,,,,,,,,,,,,,,,,,
96,13.9,,,,,,,,,,,,,,,,,,,,,,
97,13.9,,,,,,,,,,,,,,,,,,,,,,
98,13.9,,,,,,,,,,,,,,,,,,,,,,
99,13.9,,,,,,,,,,,,,,,,,,,,,,
100,13.99,,,,,,,,,,,,,,,,,,,,,,
101,13.99,,,,,,,,,,,,,,,,,,,,,,
102,13.99,,,,,,,,,,,,,,,,,,,,,,
103,13.99,,,,,,,,,,,,,,,,,,,,,,
104,13.99,,,,,,,,,,,,,,,,,,,,,,
105,13.99,,,,,,,,,,,,,,,,,,,,,,
106,14.0,,,,,,,,,,,,,,,,,,,,,,
107,14.0,,,,,,,,,,,,,,,,,,,,,,
108,14.0,,,,,,,,,,,,,,,,,,,,,,
109,14.0,,,,,,,,,,,,,,,,,,,,,,
110,14.0,,,,,,,,,,,,,,,,,,,,,,
111,14.9,,,,,,,,,,,,,,,,,,,,,,
112,14.9,,,,,,,,,,,,,,,,,,,,,,
113,14.9,,,,,,,,,,,,,,,,,,,,,,
114,15.5,,,,,,,,,,,,,,,,,,,,,,
115,15.9,,,,,,,,,,,,,,,,,,,,,,
116,15.9,,,,,,,,,,,,,,,,,,,,,,
117,15.9,,,,,,,,,,,,,,,,,,,,,,
118,15.9,,,,,,,,,,,,,,,,,,,,,,
119,16.0,,,,,,,,,,,,,,,,,,,,,,
120,16.0,,,,,,,,,,,,,,,,,,,,,,
121,16.0,,,,,,,,,,,,,,,,,,,,,,
